Trade Date,Ticker,Signal,Notional,Comments
2016-02-12,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
2016-06-25,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
2020-03-10,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
2020-03-24,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
2022-03-10,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
2022-05-10,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
2022-06-18,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
2022-07-01,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
2022-07-06,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
2022-12-03,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
2025-04-05,Gold Futures,Long,TBD,Divergence strategy: Gold ↑ while BCOM ↓
